Тикер,Название,"Количество, шт.",Средняя цена,Текущая цена,Стоимость покупок,Стоимость продаж,Текущая стоимость,Дивиденды,"Прибыль по дивидендам, %",Курсовая прибыль,"Курсовая прибыль, %",Прибыль по сделкам,"Прибыль по сделкам, %",Прибыль,"Прибыль, %","Доходность, % год.",P/L за день,"P/L за день, %",Комиссия,Текущая доля
BTI,British American Tobacco p.l.c.,100,2751.46,2907.3,275146.25,0,290730.33,7631.14,3.58,15696.43,5.71,0,0,23215.22,10.89,22.09,0,0,112.35,35.05
OKE,"ONEOK, Inc.",60,3186.11,4016.93,204772.6,16055.42,241015.66,7749.41,4.95,49945.02,26.14,2464.42,1.57,60047.89,38.33,82.79,0,0,110.96,29.06
INTC,Intel,40,4010.54,4156.72,269287.52,137172.09,166268.92,928.62,0.66,5919.13,3.69,28405.09,20.16,35082.1,24.9,50.78,0,0,170.73,20.05
VALE,Vale,60,1303.05,1622.21,88634.9,12388.31,97332.41,1957.57,2.7,19188.51,24.56,1944.82,2.68,23043.38,31.74,113.58,0,0,47.52,11.74
HBAN,Huntington Bancshares Incorporated,30,977.57,1134.38,29327.12,0,34031.39,562.71,2.11,4718.98,16.1,0,0,5266.99,19.72,39.99,0,0,14.7,4.1
