Тикер,Название,"Количество, шт.",Средняя цена,Текущая цена,Стоимость покупок,Стоимость продаж,Текущая стоимость,Дивиденды,"Прибыль по дивидендам, %",Курсовая прибыль,"Курсовая прибыль, %",Прибыль по сделкам,"Прибыль по сделкам, %",Прибыль,"Прибыль, %","Доходность, % год.",P/L за день,"P/L за день, %",Комиссия,Текущая доля
CHMF,СевСт-ао,135,1064,1685.4,143636.52,0,227529,6633.7,8.45,83961.6,58.48,0,0,90526.18,115.36,88.96,54,0.02,69.12,24.4
NLMK,НЛМК ао,700,201.6,264,144328.78,4071.15,184800,6716.5,12.75,43736.6,31,867.4,1.65,51258.87,97.34,84.25,70,0.04,61.63,19.82
SBER,Сбербанк,500,202.8,315.53,231998.24,131171.67,157765,16268,18.36,56415,55.66,699.3,0.79,73206.43,82.63,62.47,465,0.3,175.87,16.92
MTSS,МТС-ао,300,309.48,340.9,92845.33,0,102270,5015.5,6.58,9469,10.2,0,0,14440.17,18.95,15.48,-30,-0.03,44.33,10.97
IRAO,ИнтерРАОао,20000,5.24,05.01,109773.89,4922.65,100250,170.2,0.35,-4435,-4.24,-111.5,-0.23,-4431.04,-9.03,-8.2,90,0.09,54.74,10.75
SNGSP,Сургнфгз-п,1500,37.68,46.63,75358.64,23420.47,69945,1688,2.25,13455,23.82,4602.5,6.13,19694.83,26.25,18.43,135,0.19,50.67,7.5
GMKN,ГМКНорНик,2,26770,26246,53539.45,0,52492,1776.44,3.32,-1020,-1.91,0,0,728.99,1.36,35.5,56,0.11,27.45,5.63
ALRS,АЛРОСА ао,300,66.07,124.5,29728.7,10541.46,37350,1029.5,4.26,17537,88.51,645,2.67,19192.26,79.42,65.41,213,0.57,19.24,04.01
