Тикер,Название,"Количество, шт.",Средняя цена,Текущая цена,Стоимость покупок,Стоимость продаж,Текущая стоимость,Дивиденды,"Прибыль по дивидендам, %",Курсовая прибыль,"Курсовая прибыль, %",Прибыль по сделкам,"Прибыль по сделкам, %",Прибыль,"Прибыль, %","Доходность, % год.",P/L за день,"P/L за день, %",Комиссия,Текущая доля
BTI,British American Tobacco p.l.c.,100,2751.46,2842.64,275146.25,0,284264.48,7631.14,3.59,9230.58,3.36,0,0,16749.37,7.88,16.17,0,0,112.35,34.7
OKE,"ONEOK, Inc.",60,3186.11,3927.29,204772.6,16055.42,235637.42,7749.41,4.96,44566.77,23.32,2464.42,1.58,54669.64,34.98,76.46,0,0,110.96,28.77
INTC,Intel,40,4010.54,4176.25,269287.52,137172.09,167049.97,928.62,0.66,6700.18,4.18,28405.09,20.15,35863.15,25.44,52.46,0,0,170.73,20.39
VALE,Vale,60,1303.05,1634.25,88634.9,12388.31,98054.87,1957.57,2.7,19910.97,25.48,1944.82,2.68,23765.84,32.77,119.6,0,0,47.52,11.97
HBAN,Huntington Bancshares Incorporated,30,977.57,1137.79,29327.12,0,34133.58,562.71,2.11,4821.16,16.45,0,0,5369.17,20.12,41.27,0,0,14.7,4.17
