Тикер,Название,"Количество, шт.",Средняя цена,Текущая цена,Стоимость покупок,Стоимость продаж,Текущая стоимость,Дивиденды,"Прибыль по дивидендам, %",Курсовая прибыль,"Курсовая прибыль, %",Прибыль по сделкам,"Прибыль по сделкам, %",Прибыль,"Прибыль, %","Доходность, % год.",P/L за день,"P/L за день, %",Комиссия,Текущая доля
CHMF,СевСт-ао,135,1064,1646.6,143636.52,0,222291,6633.7,8.49,78723.6,54.83,0,0,85288.18,109.09,84.91,378,0.17,69.12,24.07
NLMK,НЛМК ао,700,201.6,262.92,144328.78,4071.15,184044,6716.5,12.86,42980.6,30.47,867.4,1.66,50502.87,96.7,84.27,994,0.54,61.63,19.93
SBER,Сбербанк,500,202.8,310.94,231998.24,131171.67,155470,16268,18.37,54120,53.4,699.3,0.79,70911.43,80.09,60.98,240,0.15,175.87,16.84
MTSS,МТС-ао,300,309.48,340.6,92845.33,0,102180,5015.5,6.59,9379,10.11,0,0,14350.17,18.85,15.48,405,0.4,44.33,11.06
IRAO,ИнтерРАОао,20000,5.24,05.02,109773.89,4922.65,100430,170.2,0.35,-4255,-4.06,-111.5,-0.23,-4251.04,-8.72,-7.95,70,0.07,54.74,10.87
SNGSP,Сургнфгз-п,1500,37.68,46.71,75358.64,23420.47,70065,1688,2.25,13575,24.03,4602.5,6.13,19814.83,26.38,18.6,-60,-0.09,50.67,7.59
GMKN,ГМКНорНик,2,26770,26400,53539.45,0,52800,0,0,-712,-1.33,0,0,-739.45,-1.38,-42.01,72,0.14,27.45,5.72
ALRS,АЛРОСА ао,300,66.07,120.73,29728.7,10541.46,36219,1029.5,4.26,16406,82.8,645,2.67,18061.26,74.67,62,159,0.44,19.24,3.92
